id;fopt;fhist;precision;runs
f3_1_2_GBPSO-100-10;-462.0899763074316;-462.09;5.1272628704652975E-8;1000
f3_2_2_RS-1000-1;79.76840296706153;77.66;0.026785547300542382;1000
f3_2_2_GD-1000-1-1.0E-5;82.63479026947199;77.66;0.062070517215298916;37
f3_2_2_NGD-1000-1-1-1.0E-5;94.57420285538336;77.66;0.1964093376921818;103
f3_2_2_NSGA2-10-1-1-1000;88.38920930198107;77.66;0.12922927302193501;1001
f3_2_2_NSGA2-10-1-1000-100-0.2;84.43548015958511;77.66;0.08359863153389059;1001
f3_2_2_GBPSO-100-10;77.66000000129762;77.66;1.6709008057477264E-11;1000
f3_3_2_RS-1000-1;116.93531275961301;115.68;0.010793036320100372;1000
f3_3_2_GD-1000-1-1.0E-5;123.63966242617542;115.68;0.06651908452052731;43
f3_3_2_NGD-1000-1-1-1.0E-5;131.5992438879696;115.68;0.1287551970611965;70
f3_3_2_NSGA2-10-1-1-1000;141.55274162632912;115.68;0.20116211849822235;1001
f3_3_2_NSGA2-10-1-1000-100-0.2;119.11353144265904;115.68;0.02924724051435432;1001
f3_3_2_GBPSO-100-10;115.68020352835133;115.68;1.7594067451270105E-6;1000
f3_4_2_RS-1000-1;1.507275386736156;-3.71;2.0;1000
f3_4_2_GD-1000-1-1.0E-5;30.11832419026279;-3.71;2.0;97
f3_4_2_NGD-1000-1-1-1.0E-5;46.036951909475775;-3.71;2.0;40
f3_4_2_NSGA2-10-1-1-1000;23.02457438861824;-3.71;2.0;1001
f3_4_2_NSGA2-10-1-1000-100-0.2;1431.6552145157514;-3.71;2.0;1001
f3_4_2_GBPSO-100-10;-3.2511213124396185;-3.71;0.13184045126188476;1000
f3_5_2_RS-1000-1;134.51240521088923;132.18;0.017491350824518994;1000
f3_5_2_GD-1000-1-1.0E-5;157.05384513210976;132.18;0.1719981637747023;46
f3_5_2_NGD-1000-1-1-1.0E-5;216.7487294451725;132.18;0.484733541887733;172
f3_5_2_NSGA2-10-1-1-1000;331.013117498815;132.18;0.8585322621911526;1001
f3_5_2_NSGA2-10-1-1000-100-0.2;169.36345762977703;132.18;0.24662088789490091;1001
f3_5_2_GBPSO-100-10;132.1808699036493;132.18;6.581183135049963E-6;1000
f4_1_2_RS-1000-1;-461.915069680138;-462.09;3.78634978534321E-4;1000
f4_1_2_GD-1000-1-1.0E-5;-433.2364458259556;-462.09;0.06445370693239469;106
f4_1_2_NGD-1000-1-1-1.0E-5;-449.15556694831656;-462.09;0.02838846853324011;145
f4_1_2_NSGA2-10-1-1-1000;-436.9428720342871;-462.09;0.055942621783809036;1001
